code,categorie,numero_source,intitule,type_diplome,ies_sigles,nb_ies,profils_entree,nb_competences,competences,metiers,secteurs,url_source
LIC-044,Licence,44,Licence fondamentale en Gestion,Licence fondamentale,UGLCS ; UJNK ; UL ; UK ; UNG,5,SE + SE-FA + SM,12,"1. Tenir la comptabilité générale
2. Tenir la comptabilité analytique et coûts
3. Assurer la gestion budgétaire et prévisionnelle
4. Conduire l’analyse financière
5. Gérer les ressources humaines
6. Mettre en œuvre le marketing et étude de marché
7. Assurer la gestion commerciale
8. Gérer les approvisionnements et les stocks
9. Gérer le projet
10. Appliquer la fiscalité de l’entreprise
11. Contrôler la gestion
12. Établir le diagnostic stratégique de l’entreprise","1. Assistant de gestion
2. Contrôleur de gestion junior
3. Assistant comptable
4. Chargé de gestion administrative et financière
5. Assistant ressources humaines","— Entreprises et administration —
• Services comptables et financiers des entreprises
• Services administratifs et de gestion du personnel
• Services commerciaux et marketing
— Cabinets et conseil —
• Cabinets d’expertise comptable et d’audit
• Cabinets de conseil en gestion et en organisation
• Services de contrôle de gestion et de reporting
— Banque, assurance et projets —
• Banques, assurances et établissements de microfinance
• Projets et programmes de développement, en gestion administrative et financière
• Organisations non gouvernementales, en gestion des ressources
— Entrepreneuriat et poursuite d’études —
• Création et gestion de petites et moyennes entreprises
• Structures d’accompagnement des entreprises
• Masters en gestion, finance ou audit",https://parcoursupguinee.org/offre-de-formation-en-licence-professionnelle-et-fondamentale
LIC-045,Licence,45,Licence fondamentale en Économie,Licence fondamentale,UGLCS ; UJNK ; UL ; UK,4,SE + SE-FA + SM,12,"1. Conduire l’analyse microéconomique
2. Conduire l’analyse macroéconomique
3. Analyser l’économie monétaire et financière
4. Analyser l’économie du développement
5. Mobiliser les statistiques économiques
6. Mettre en œuvre les techniques économétriques
7. Analyser la conjoncture
8. Analyser l’économie internationale et échanges
9. Évaluer les politiques économiques
10. Analyser les marchés et le prix
11. Conduire la recherche documentaire économique
12. Rédiger des notes et rapports économiques","1. Chargé d’études économiques
2. Analyste macroéconomique junior
3. Chargé de planification et de programmation
4. Assistant de recherche en économie
5. Chargé de suivi-évaluation de politiques publiques","— Administration économique et planification —
• Services d’études économiques et de planification des ministères
• Instituts de statistique et observatoires économiques
• Services de suivi des politiques publiques
— Banque, finance et assurance —
• Banques centrales et banques commerciales
• Établissements de microfinance et compagnies d’assurance
• Services d’analyse économique et financière
— Coopération et développement —
• Projets et programmes des partenaires au développement
• Organisations non gouvernementales et organisations internationales
• Cabinets d’études et de conseil économique
— Entreprises, recherche et enseignement —
• Services d’études de marché et de stratégie des entreprises
• Laboratoires et centres de recherche en économie
• Universités et établissements d’enseignement, notamment après poursuite d’études",https://parcoursupguinee.org/offre-de-formation-en-licence-professionnelle-et-fondamentale
LIC-046,Licence,46,Licence fondamentale en Histoire,Licence fondamentale,UGLCS,1,SS + SS-FA,12,"1. Exercer le critique et analyse des sources historiques
2. Rechercher en archives
3. Appliquer la méthodologie de la recherche historique
4. Mettre en œuvre la chronologie et la périodisation
5. Analyser l’histoire politique et institutionnelle
6. Analyser l’histoire économique et sociale
7. Mobiliser les traditions orales et sources locales
8. Assurer la rédaction et synthèse historiques
9. Enseigner l’histoire
10. Vulgariser le savoir historique
11. Conserver les documents anciens
12. Conduire l’analyse critique de l’information","1. Enseignant d’histoire (après formation pédagogique)
2. Chargé de recherche documentaire et historique
3. Assistant de conservation du patrimoine
4. Guide-conférencier
5. Chargé de médiation culturelle","— Patrimoine, archives et culture —
• Services des archives nationales et régionales
• Musées, sites historiques et structures du patrimoine
• Centres culturels et bibliothèques
— Enseignement et recherche —
• Établissements d’enseignement secondaire, notamment après formation pédagogique
• Universités et centres de recherche, notamment après poursuite d’études
• Projets de collecte et de valorisation des traditions orales
— Médias, édition et tourisme —
• Rédactions de presse et médias, en documentation et analyse
• Maisons d’édition et structures de production de contenus
• Agences de tourisme culturel et guidage patrimonial
— Administration et coopération —
• Services publics chargés de la culture et du patrimoine
• Organisations non gouvernementales culturelles
• Projets de coopération culturelle",https://parcoursupguinee.org/offre-de-formation-en-licence-professionnelle-et-fondamentale
LIC-047,Licence,47,Licence fondamentale en Géographie,Licence fondamentale,UGLCS ; UZ,2,SS + SS-FA,12,"1. Lire et analyser les cartes
2. Mettre en œuvre les techniques de cartographie
3. Conduire l’enquête et l’observation de terrain
4. Analyser les milieux naturels
5. Analyser la population et le peuplement
6. Mettre en œuvre la géographie urbaine et rurale
7. Analyser les dynamiques territoriales
8. Utiliser les systèmes d’information géographique
9. Traiter les données spatiales
10. Prévenir les risques naturels
11. Enseigner la géographie
12. Rédiger des rapports territoriaux","1. Chargé d’études géographiques et territoriales
2. Technicien SIG
3. Assistant en aménagement du territoire
4. Enseignant de géographie (après formation pédagogique)
5. Chargé d’études environnementales","— Aménagement et collectivités —
• Services d’urbanisme et d’aménagement du territoire
• Services techniques des collectivités locales
• Projets d’aménagement et de développement local
— Cartographie et information géographique —
• Services de cartographie et de topographie
• Structures de gestion de l’information géographique
• Bureaux d’études en environnement et territoires
— Environnement et risques —
• Services de gestion des ressources naturelles
• Structures de prévention des risques et catastrophes
• Projets de gestion durable des territoires
— Enseignement, recherche et coopération —
• Établissements d’enseignement secondaire, notamment après formation pédagogique
• Universités et centres de recherche, notamment après poursuite d’études
• Projets et programmes des partenaires au développement",https://parcoursupguinee.org/offre-de-formation-en-licence-professionnelle-et-fondamentale
LIC-048,Licence,48,Licence fondamentale en Sociologie,Licence fondamentale,UGLCS ; UJNK ; UL ; UK ; UZ,5,SS + SS-FA,12,"1. Mobiliser les théories et courants sociologiques
2. Construire l’un objet de recherche
3. Concevoir des questionnaires
4. Conduire des entretiens
5. Observer le terrain
6. Conduire l’analyse quantitative des données sociales
7. Conduire l’analyse qualitative des discours
8. Analyser les institutions sociales
9. Analyser les inégalités et la stratification
10. Mettre en œuvre la restitution des résultats d’enquête
11. Enseigner la sociologie
12. Rédiger des rapports d’étude","1. Chargé d’études sociologiques
2. Enquêteur / chargé d’études qualitatives
3. Chargé de suivi-évaluation de projets sociaux
4. Assistant en développement communautaire
5. Chargé d’animation sociale","— Études sociales et développement —
• Services d’études et de planification sociale
• Projets et programmes de développement communautaire
• Organisations non gouvernementales et organisations de la société civile
— Enquêtes, évaluation et recherche —
• Cabinets d’études, de sondage et d’évaluation
• Instituts de statistique et observatoires sociaux
• Laboratoires et centres de recherche en sciences sociales
— Entreprises et ressources humaines —
• Services des ressources humaines et du climat social
• Services de responsabilité sociale des entreprises minières et industrielles
• Structures de médiation sociale
— Enseignement et action publique —
• Établissements d’enseignement secondaire et supérieur, notamment après formation pédagogique
• Services publics chargés des affaires sociales
• Programmes de protection sociale et d’inclusion",https://parcoursupguinee.org/offre-de-formation-en-licence-professionnelle-et-fondamentale
LIC-049,Licence,49,Licence fondamentale en Philosophie,Licence fondamentale,UGLCS ; UJNK ; UK,3,SS + SS-FA,12,"1. Lire et analyser les textes philosophiques
2. Analyser l’histoire de la philosophie
3. Construire l’une argumentation
4. Mettre en œuvre la dissertation et commentaire de texte
5. Mettre en œuvre le logique et le raisonnement
6. Respecter l’éthique et la philosophie morale
7. Mettre en œuvre la philosophie politique
8. Mettre en œuvre l’esprit critique et analyse des idées
9. Développer l’expression orale et débat
10. Enseigner la philosophie
11. Mettre en œuvre le réflexion sur les questions de société
12. Rédiger des textes de réflexion","1. Enseignant de philosophie (après formation pédagogique)
2. Chargé d’études en éthique et gouvernance
3. Rédacteur / analyste éditorial
4. Chargé de médiation et de dialogue
5. Assistant de recherche en sciences humaines","— Enseignement et formation —
• Établissements d’enseignement secondaire, notamment après formation pédagogique
• Universités et institutions d’enseignement supérieur, notamment après poursuite d’études
• Centres de formation et de préparation aux concours
— Médias, édition et communication —
• Rédactions de presse, en analyse et chronique
• Maisons d’édition et structures de production éditoriale
• Services de communication institutionnelle
— Administration, éthique et société civile —
• Administrations publiques, en rédaction et analyse
• Comités d’éthique et structures de médiation
• Organisations de la société civile et de promotion des droits
— Recherche et conseil —
• Laboratoires et centres de recherche en sciences humaines
• Cabinets d’études et de conseil
• Centres de documentation",https://parcoursupguinee.org/offre-de-formation-en-licence-professionnelle-et-fondamentale
LIC-050,Licence,50,Licence fondamentale en Psychologie,Licence fondamentale,UGLCS ; UJNK,2,SS + SS-FA,12,"1. Analyser les postes et les compétences
2. Conduire l’évaluation psychotechnique des candidats
3. Conduire les entretiens de recrutement
4. Assurer l’intégration le nouveaux employés
5. Analyser la motivation au travail
6. Gérer les compétences et les carrières
7. Concevoir les plans de formation
8. Prévenir les risques psychosociaux
9. Améliorer les conditions de travail
10. Gérer les conflits en entreprise
11. Accompagner au changement
12. Évaluer la performance du personnel","1. Psychologue (selon la réglementation en vigueur)
2. Chargé d’accompagnement psychosocial
3. Conseiller d’orientation scolaire et professionnelle
4. Chargé de ressources humaines et de bien-être au travail
5. Assistant en psychologie clinique","— Éducation et accompagnement scolaire —
• Services d’orientation et de conseil des établissements scolaires
• Structures de prise en charge des difficultés d’apprentissage
• Centres d’éducation spécialisée
— Santé et action sociale —
• Services de santé mentale et de soutien psychologique
• Centres sociaux et structures d’accompagnement des publics vulnérables
• Organisations humanitaires, en appui psychosocial
— Entreprises et ressources humaines —
• Services des ressources humaines, en recrutement et évaluation
• Services de prévention des risques psychosociaux
• Cabinets de conseil en gestion des talents
— Recherche, enseignement et poursuite d’études —
• Laboratoires et centres de recherche en psychologie
• Établissements d’enseignement, notamment après formation pédagogique
• Masters et spécialisations en psychologie",https://parcoursupguinee.org/offre-de-formation-en-licence-professionnelle-et-fondamentale
LIC-051,Licence,51,Licence fondamentale en Sciences du Langage,Licence fondamentale,UGLCS,1,SS + SS-FA,12,"1. Analyser les sons de la langue
2. Analyser la formation le mots
3. Conduire l’analyse grammaticale et syntaxique
4. Analyser le sens et le vocabulaire
5. Décrire les langues
6. Réaliser la transcription phonétique
7. Collecter des données linguistiques
8. Analyser les variations de langue
9. Élaborer des lexiques et des dictionnaires
10. Appliquer à l’enseignement des langues
11. Assurer le traitement automatique de la langue
12. Rédiger des études linguistiques","1. Chargé d’études linguistiques
2. Rédacteur-correcteur
3. Assistant de recherche en sciences du langage
4. Formateur en langue et communication
5. Chargé de terminologie et de traitement de corpus","— Enseignement et alphabétisation —
• Établissements d’enseignement secondaire, notamment après formation pédagogique
• Programmes d’alphabétisation et d’éducation non formelle
• Centres de formation en langues
— Langues nationales et documentation —
• Projets de description et de valorisation des langues nationales
• Structures de transcription et d’élaboration de lexiques
• Centres de documentation linguistique
— Édition, médias et traduction —
• Maisons d’édition et services de correction
• Médias, en rédaction et adaptation linguistique
• Services de traduction et de terminologie
— Recherche et poursuite d’études —
• Laboratoires et centres de recherche en linguistique
• Universités et institutions d’enseignement supérieur, notamment après poursuite d’études
• Projets de recherche sur les langues et les traditions orales",https://parcoursupguinee.org/offre-de-formation-en-licence-professionnelle-et-fondamentale
LIC-052,Licence,52,Licence fondamentale en Lettres modernes,Licence fondamentale,UGLCS,1,SS + SS-FA,12,"1. Analyser les textes littéraires
2. Analyser l’histoire littéraire
3. Mettre en œuvre les techniques de dissertation et le commentaire
4. Assurer l’écriture créative
5. Analyser les représentations sociales
6. Exercer le critique littéraire
7. Assurer l’animation culturelle
8. Rédiger pour les médias
9. Assurer l’édition et la préparation de manuscrits
10. Assurer la communication culturelle
11. Développer l’expression orale et la lecture publique
12. Conduire la recherche documentaire","1. Enseignant de lettres (après formation pédagogique)
2. Rédacteur / secrétaire de rédaction
3. Chargé d’édition et de correction
4. Chargé de médiation littéraire et culturelle
5. Assistant de recherche en littérature","— Enseignement et formation —
• Établissements d’enseignement secondaire, notamment après formation pédagogique
• Universités et institutions d’enseignement supérieur, notamment après poursuite d’études
• Centres de formation et de soutien scolaire
— Édition, médias et création —
• Maisons d’édition, en préparation et correction des manuscrits
• Rédactions de presse et médias culturels
• Structures de production de contenus et d’écriture
— Culture et médiation —
• Centres culturels, bibliothèques et médiathèques
• Structures d’animation littéraire et de lecture publique
• Projets culturels et festivals
— Communication et administration —
• Services de communication des entreprises et des administrations
• Services de rédaction administrative et de documentation
• Organisations non gouvernementales, en communication et plaidoyer",https://parcoursupguinee.org/offre-de-formation-en-licence-professionnelle-et-fondamentale
LIC-053,Licence,53,Licence fondamentale en Langue Arabe,Licence fondamentale,UGLCS ; UJNK ; UL ; UZ,4,SS-FA,12,"1. Mobiliser la grammaire arabe
2. Mettre en œuvre la conjugaison arabe
3. Développer l’expression écrite en arabe
4. Développer l’expression orale en arabe
5. Lire et interpréter les textes
6. Mettre en œuvre la littérature arabe
7. Appliquer les méthodes d’enseignement des langues
8. Préparer les cours
9. Évaluer les apprenants
10. Produire des supports pédagogiques
11. Réaliser la traduction entre l’arabe et le français
12. Gérer la classe","1. Enseignant d’arabe (après formation pédagogique)
2. Traducteur arabe-français
3. Chargé de relations avec les pays arabophones
4. Assistant de coopération culturelle
5. Chargé de contenus en langue arabe","— Enseignement de la langue arabe —
• Établissements d’enseignement secondaire, notamment après formation pédagogique
• Écoles et instituts d’enseignement de l’arabe
• Centres de formation en langues
— Traduction et médiation —
• Services de traduction et d’interprétation
• Structures de coopération avec les pays arabophones
• Agences de communication bilingue
— Culture, médias et coopération —
• Centres culturels et structures de promotion culturelle
• Médias arabophones et services de documentation
• Organisations internationales et organisations non gouvernementales
— Recherche et poursuite d’études —
• Universités et institutions d’enseignement supérieur, notamment après poursuite d’études
• Projets de recherche en langue et littérature arabes
• Centres de documentation et d’édition",https://parcoursupguinee.org/offre-de-formation-en-licence-professionnelle-et-fondamentale
LIC-054,Licence,54,"Licence professionnelle en Traduction Arabe, Interprétation et Médiation Interculturelle",Licence professionnelle,UGLCS ; UJNK ; UL ; UZ,4,SS-FA,12,"1. Traduire l’arabe vers le français
2. Traduire le français vers l’arabe
3. Réaliser l’interprétation consécutive
4. Réaliser l’interprétation simultanée
5. Traduire des documents juridiques
6. Traduire des documents commerciaux
7. Mobiliser la terminologie spécialisée
8. Utiliser les outils d’aide à la traduction
9. Assurer la médiation interculturelle
10. Assurer la révision et la relecture des traductions
11. Respecter l’éthique et la déontologie du traducteur
12. Gérer les projets de traduction","1. Traducteur professionnel arabe-français
2. Interprète de liaison et de conférence
3. Médiateur interculturel
4. Chargé de coopération internationale
5. Rédacteur bilingue","— Traduction et interprétation —
• Services de traduction des administrations et des entreprises
• Agences de traduction et cabinets indépendants
• Services d’interprétation de conférence et de liaison
— Diplomatie et coopération —
• Services des affaires étrangères et représentations diplomatiques
• Organisations internationales et régionales
• Projets de coopération avec les pays arabophones
— Commerce et entreprises —
• Entreprises d’import-export et de négoce international
• Services commerciaux et juridiques, en documents bilingues
• Structures d’accompagnement des investisseurs
— Médias, enseignement et entrepreneuriat —
• Médias et structures de production de contenus multilingues
• Établissements d’enseignement et centres de langues
• Création de cabinets de traduction et de médiation interculturelle",https://parcoursupguinee.org/offre-de-formation-en-licence-professionnelle-et-fondamentale
LIC-055,Licence,55,Licence fondamentale en Langue Anglaise,Licence fondamentale,UGLCS ; UJNK ; UL ; UK ; UZ,5,SS,12,"1. Assurer la maîtrise avancée de l’anglais
2. Mettre en œuvre la didactique de l’anglais langue étrangère
3. Préparer les séquences de cours
4. Animer la classe en anglais
5. Enseigner la compréhension orale
6. Enseigner l’expression écrite
7. Évaluer les apprentissages
8. Assurer la correction et la remédiation
9. Produire des supports didactiques
10. Utiliser les ressources numériques
11. Gérer la classe
12. Encadrer les activités linguistiques","1. Enseignant d’anglais (après formation pédagogique)
2. Traducteur et interprète
3. Assistant bilingue de direction
4. Chargé de communication internationale
5. Formateur en anglais professionnel","— Enseignement de l’anglais —
• Établissements d’enseignement secondaire, notamment après formation pédagogique
• Centres et instituts de langues
• Programmes de formation en anglais professionnel
— Traduction, médias et communication —
• Services de traduction et d’interprétation
• Médias et structures de production de contenus en anglais
• Services de communication internationale des entreprises
— Coopération, tourisme et affaires —
• Organisations internationales et organisations non gouvernementales
• Hôtellerie, tourisme et agences de voyages
• Entreprises d’import
— export et sociétés minières internationales. —
• Recherche et poursuite d’études —
• Universités et institutions d’enseignement supérieur, notamment après poursuite d’études
• Projets de recherche en langue et littérature anglaises
• Centres de documentation",https://parcoursupguinee.org/offre-de-formation-en-licence-professionnelle-et-fondamentale
LIC-056,Licence,56,Licence professionnelle en Bibliothéconomie et Information Numérique,Licence professionnelle,UJNK,1,SS + SS-FA,12,"1. Mettre en œuvre l’acquisition et la sélection des ouvrages
2. Cataloguer les documents
3. Mettre en œuvre la classification et l’indexation
4. Gérer les collections
5. Utiliser les logiciels de bibliothèque
6. Numériser les documents
7. Gérer les ressources numériques
8. Conduire la recherche documentaire avancée
9. Assurer l’accueil et l’orientation des usagers
10. Assurer l’animation culturelle en bibliothèque
11. Conserver les documents
12. Mobiliser les statistiques et rapports d’activité","1. Bibliothécaire
2. Gestionnaire de ressources documentaires numériques
3. Chargé de catalogage et d’indexation
4. Médiateur numérique en bibliothèque
5. Responsable de centre de documentation adjoint","— Bibliothèques et centres de ressources —
• Bibliothèques universitaires, scolaires et publiques
• Médiathèques et centres de ressources documentaires
• Bibliothèques spécialisées des institutions
— Gestion des ressources numériques —
• Services de numérisation et de gestion des collections électroniques
• Structures d’administration des logiciels documentaires
• Plateformes de diffusion des contenus scientifiques
— Administration, entreprises et médias —
• Centres de documentation des administrations et des entreprises
• Services d’archives et de documentation des médias
• Organisations non gouvernementales et projets, en gestion de l’information
— Animation culturelle et enseignement —
• Activités d’animation et de médiation en bibliothèque
• Établissements de formation en sciences de l’information
• Projets de promotion de la lecture",https://parcoursupguinee.org/offre-de-formation-en-licence-professionnelle-et-fondamentale
LIC-057,Licence,57,Licence professionnelle en Archivistique et Gestion Documentaire,Licence professionnelle,UJNK,1,SS + SS-FA,12,"1. Organiser le collecte et le versement des archives
2. Mettre en œuvre le tri et l’évaluation des documents
3. Mettre en œuvre le classement et la cotation
4. Réaliser la description archivistique
5. Élaborer les instruments de recherche
6. Assurer la conservation préventive des documents
7. Mettre en œuvre la numérisation et l’archivage électronique
8. Gérer les durées de conservation
9. Assurer la communication des documents aux usagers
10. Appliquer la réglementation des archives
11. Gérer les archives d’entreprise
12. Rédiger les procédures d’archivage","1. Archiviste
2. Records manager / gestionnaire documentaire
3. Chargé de numérisation et de conservation
4. Responsable de la gestion électronique des documents
5. Assistant de conservation d’archives","— Archives publiques et institutionnelles —
• Archives nationales, régionales et préfectorales
• Services d’archives des ministères et des collectivités
• Greffes et services de conservation des actes
— Entreprises et gestion documentaire —
• Services de gestion documentaire des entreprises et des banques
• Services d’archivage des sociétés minières et industrielles
• Structures de gestion électronique des documents
— Numérisation et conservation —
• Projets de numérisation et d’archivage électronique
• Services de conservation préventive
• Structures de gestion des durées de conservation
— Enseignement, recherche et conseil —
• Établissements de formation en archivistique
• Centres de recherche et de documentation historique
• Cabinets de conseil en organisation documentaire",https://parcoursupguinee.org/offre-de-formation-en-licence-professionnelle-et-fondamentale
LIC-058,Licence,58,"Licence professionnelle en Documentation, Veille et Gestion de l’Information Numérique",Licence professionnelle,UJNK,1,SS + SS-FA,12,"1. Conduire la recherche documentaire spécialisée
2. Évaluer la fiabilité des sources
3. Organiser la veille informationnelle
4. Mettre en œuvre l’indexation et la gestion le mots-clés
5. Assurer l’alimentation des bases de données documentaires
6. Mettre en œuvre le synthèse et la diffusion de l’information
7. Assurer la gestion électronique des documents
8. Utiliser les outils de veille automatisée
9. Assurer la protection et sécurité des données
10. Réaliser la cartographie de l’information
11. Former les usagers à la recherche
12. Rédiger des bulletins de veille","1. Documentaliste
2. Chargé de veille informationnelle et stratégique
3. Gestionnaire de contenus numériques
4. Analyste de l’information
5. Chargé de knowledge management","— Documentation et veille —
• Centres de documentation des administrations et des entreprises
• Services de veille informationnelle et stratégique
• Structures de gestion des bases documentaires
— Numérique et gestion de l’information —
• Services de gestion électronique des documents
• Projets de dématérialisation et de gouvernance de l’information
• Services de protection et de sécurité des données documentaires
— Médias, recherche et coopération —
• Services de documentation des médias
• Laboratoires et centres de recherche, en appui documentaire
• Organisations non gouvernementales et projets de développement
— Formation et entrepreneuriat —
• Formation des usagers à la recherche documentaire
• Établissements d’enseignement en sciences de l’information
• Création de services de veille et de conseil documentaire",https://parcoursupguinee.org/offre-de-formation-en-licence-professionnelle-et-fondamentale
LIC-059,Licence,59,Licence professionnelle en Patrimoine Historique et Culturel,Licence professionnelle,UJNK,1,SS + SS-FA,12,"1. Réaliser l’inventaire des biens patrimoniaux
2. Assurer la documentation et fiches d’inventaire
3. Assurer la conservation préventive des objets
4. Restaurer le base des collections
5. Mettre en œuvre la muséographie et mise en exposition
6. Assurer la médiation et visites guidées
7. Assurer la valorisation touristique du patrimoine
8. Collecter le patrimoine immatériel
9. Monter des projets culturels
10. Rechercher des financements culturels
11. Appliquer la réglementation du patrimoine
12. Rédiger des dossiers patrimoniaux","1. Chargé de valorisation du patrimoine
2. Guide-conférencier
3. Assistant de conservation de musée
4. Chargé de projets culturels et touristiques
5. Médiateur du patrimoine","— Patrimoine et musées —
• Musées, sites et monuments historiques
• Services d’inventaire et de conservation du patrimoine
• Structures de restauration et de conservation préventive
— Culture et médiation —
• Centres culturels et structures de médiation
• Projets de valorisation du patrimoine immatériel
• Festivals et manifestations culturelles
— Tourisme et développement local —
• Agences de tourisme culturel et de guidage
• Projets de développement touristique des territoires
• Collectivités locales, en valorisation du patrimoine
— Administration, coopération et recherche —
• Services publics chargés de la culture et du patrimoine
• Organisations internationales et organisations non gouvernementales culturelles
• Universités et centres de recherche, notamment après poursuite d’études",https://parcoursupguinee.org/offre-de-formation-en-licence-professionnelle-et-fondamentale
LIC-060,Licence,60,"Licence professionnelle en Littérature, Société et Communication",Licence professionnelle,UJNK ; UL ; UK,3,SS + SS-FA,12,"1. Analyser les textes littéraires
2. Analyser l’histoire littéraire
3. Mettre en œuvre les techniques de dissertation et le commentaire
4. Assurer l’écriture créative
5. Analyser les représentations sociales
6. Exercer le critique littéraire
7. Assurer l’animation culturelle
8. Rédiger pour les médias
9. Assurer l’édition et la préparation de manuscrits
10. Assurer la communication culturelle
11. Développer l’expression orale et la lecture publique
12. Conduire la recherche documentaire","1. Chargé de communication
2. Rédacteur de contenus
3. Animateur socioculturel
4. Chargé de relations publiques
5. Attaché de presse junior","— Médias et édition —
• Rédactions de presse écrite et médias en ligne
• Maisons d’édition et structures de production éditoriale
• Structures de production de contenus culturels
— Communication et culture —
• Services de communication des entreprises et des institutions
• Agences de communication et de création de contenus
• Centres culturels et structures d’animation
— Enseignement et formation —
• Établissements d’enseignement secondaire et supérieur, notamment après formation pédagogique
• Centres de formation en écriture et en communication
• Projets d’éducation culturelle
— Recherche, documentation et entrepreneuriat —
• Laboratoires et centres de recherche en littérature et communication
• Centres de documentation et bibliothèques
• Création d’entreprises de contenus et de services rédactionnels",https://parcoursupguinee.org/offre-de-formation-en-licence-professionnelle-et-fondamentale
LIC-061,Licence,61,Licence fondamentale en Littérature,Licence fondamentale,UJNK ; UL,2,SS + SS-FA,12,"1. Analyser les œuvres littéraires
2. Analyser l’histoire de la littérature
3. Mobiliser la grammaire et l’orthographe
4. Préparer les séquences pédagogiques
5. Mettre en œuvre les techniques d’animation de classe
6. Évaluer les apprentissages
7. Corriger les travaux d’élèves
8. Développer l’expression écrite et orale
9. Utiliser les supports pédagogiques
10. Gérer la classe
11. Conduire la remédiation et soutien scolaire
12. Encadrer les activités culturelles scolaires","1. Enseignant de littérature (après formation pédagogique)
2. Critique et chroniqueur littéraire
3. Chargé d’édition
4. Assistant de recherche en littérature
5. Chargé de programmation culturelle","— Enseignement et formation —
• Établissements d’enseignement secondaire, notamment après formation pédagogique
• Universités et institutions d’enseignement supérieur, notamment après poursuite d’études
• Centres de soutien scolaire et de préparation aux examens
— Édition et création littéraire —
• Maisons d’édition, en préparation et correction des manuscrits
• Structures de production littéraire et d’écriture
• Revues et publications culturelles
— Culture et médiation littéraire —
• Bibliothèques, médiathèques et centres culturels
• Clubs de lecture et activités d’animation littéraire
• Festivals et concours littéraires
— Médias, communication et recherche —
• Médias culturels, en critique et chronique
• Services de communication et de rédaction
• Laboratoires et centres de recherche en littérature",https://parcoursupguinee.org/offre-de-formation-en-licence-professionnelle-et-fondamentale
LIC-062,Licence,62,Licence professionnelle en Géomatique,Licence professionnelle,UJNK,1,SS + SS-FA,12,"1. Réaliser les levés topographiques de terrain
2. Réaliser le positionnement par satellite
3. Traiter les données de levé
4. Concevoir des bases de données spatiales
5. Conduire la production cartographique
6. Traiter les images satellitaires
7. Conduire l’analyse spatiale
8. Réaliser la modélisation numérique du terrain
9. Calculer des surfaces et des volumes
10. Réaliser la cartographie thématique
11. Diffuser les données géographiques en ligne
12. Rédiger des rapports cartographiques","1. Géomaticien
2. Technicien SIG et télédétection
3. Cartographe
4. Chargé d’études cadastrales et foncières
5. Analyste de données spatiales","— Topographie et cartographie —
• Services de topographie, du cadastre et de la cartographie
• Bureaux d’études en géomatique et en aménagement
• Entreprises de levés topographiques et d’implantation
— Mines, travaux publics et énergie —
• Services topographiques des sociétés minières
• Entreprises de travaux publics et de construction
• Projets d’infrastructures et de réseaux
— Environnement et gestion du territoire —
• Structures de gestion des ressources naturelles et des aires protégées
• Services d’urbanisme et de planification territoriale
• Projets de suivi environnemental par télédétection
— Administration, recherche et entrepreneuriat —
• Services publics chargés du foncier et de l’aménagement
• Laboratoires et centres de recherche en géomatique
• Création de cabinets de géomètre et de services cartographiques",https://parcoursupguinee.org/offre-de-formation-en-licence-professionnelle-et-fondamentale
LIC-063,Licence,63,Licence fondamentale en Linguistique,Licence fondamentale,UJNK,1,SS + SS-FA,12,"1. Analyser les sons de la langue
2. Analyser la formation le mots
3. Conduire l’analyse grammaticale et syntaxique
4. Analyser le sens et le vocabulaire
5. Décrire les langues
6. Réaliser la transcription phonétique
7. Collecter des données linguistiques
8. Analyser les variations de langue
9. Élaborer des lexiques et des dictionnaires
10. Appliquer à l’enseignement des langues
11. Assurer le traitement automatique de la langue
12. Rédiger des études linguistiques","1. Chargé d’études en linguistique appliquée
2. Terminologue
3. Assistant de recherche en linguistique
4. Formateur en langues
5. Chargé de traitement automatique du langage (junior)","— Enseignement et alphabétisation —
• Établissements d’enseignement secondaire, notamment après formation pédagogique
• Programmes d’alphabétisation et d’éducation non formelle
• Centres de formation en langues
— Langues nationales et documentation —
• Projets de description et de transcription des langues nationales
• Structures d’élaboration de lexiques et de manuels
• Centres de documentation linguistique
— Édition, médias et traduction —
• Maisons d’édition et services de correction
• Médias, en adaptation linguistique et sous-titrage
• Services de traduction et de terminologie
— Recherche et poursuite d’études —
• Laboratoires et centres de recherche en linguistique
• Universités et institutions d’enseignement supérieur, notamment après poursuite d’études
• Projets de sauvegarde des langues et des traditions orales",https://parcoursupguinee.org/offre-de-formation-en-licence-professionnelle-et-fondamentale
